學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,lat,lng
23,國立雲林科技大學,D 日,B 四技,6287,3887,2400,988,558,993,573,897,596,848,608,0,0,0,0,0,0,161,65,09 雲林縣,2 技職,23.6960596,120.5340433
23,國立雲林科技大學,D 日,C 二技,195,80,115,0,0,0,0,36,57,39,51,0,0,0,0,0,0,5,7,09 雲林縣,2 技職,23.6960596,120.5340433
23,國立雲林科技大學,N 職,M 碩士,804,467,337,193,127,161,130,59,48,32,21,22,11,0,0,0,0,0,0,09 雲林縣,2 技職,23.6960596,120.5340433
1018,朝陽科技大學,D 日,D 博士,110,72,38,17,8,11,7,18,11,7,7,6,1,6,2,7,2,0,0,06 臺中市,2 技職,24.069678,120.714829
1018,朝陽科技大學,D 日,M 碩士,613,321,292,141,109,97,82,50,49,24,29,8,18,0,2,1,3,0,0,06 臺中市,2 技職,24.069678,120.714829
1025,嘉南藥理大學,N 修,B 四技,1461,740,721,165,142,151,132,170,186,199,229,0,0,0,0,0,0,55,32,11 臺南市,2 技職,22.9209971,120.2253459
1061,中華科技大學,N 修,B 四技,644,528,116,126,30,115,28,135,36,126,21,0,0,0,0,0,0,26,1,30 臺北市,2 技職,25.0336217,121.6099098
3002,臺北市立大學,N 職,M 碩士,1201,316,885,105,280,96,257,46,159,28,85,19,54,22,50,0,0,0,0,30 臺北市,1 一般,25.0355926,121.5140027
44,國立體育大學,D 日,M 碩士,339,189,150,71,63,59,50,32,24,27,13,0,0,0,0,0,0,0,0,03 桃園市,1 一般,25.0351268,121.3839182
44,國立體育大學,D 日,B 學士,1822,1152,670,302,176,269,171,246,146,250,152,0,0,0,0,0,0,85,25,03 桃園市,1 一般,25.0351268,121.3839182
44,國立體育大學,N 職,M 碩士,236,141,95,45,38,34,36,30,10,18,7,6,1,8,3,0,0,0,0,03 桃園市,1 一般,25.0351268,121.3839182
44,國立體育大學,N 修,C 二年制,93,58,35,0,0,0,0,36,17,19,14,0,0,0,0,0,0,3,4,03 桃園市,1 一般,25.0351268,121.3839182
46,國立臺北護理健康大學,D 日,D 博士,77,8,69,1,13,2,16,1,11,1,14,3,8,0,2,0,5,0,0,30 臺北市,2 技職,25.1175924,121.5210676
46,國立臺北護理健康大學,D 日,M 碩士,559,94,465,34,150,31,141,14,97,15,77,0,0,0,0,0,0,0,0,30 臺北市,2 技職,25.1175924,121.5210676
46,國立臺北護理健康大學,D 日,B 四技,2837,756,2081,181,532,195,525,167,475,178,468,0,0,0,0,0,0,35,81,30 臺北市,2 技職,25.1175924,121.5210676
46,國立臺北護理健康大學,D 日,C 二技,948,87,861,0,0,0,0,46,412,38,431,0,0,0,0,0,0,3,18,30 臺北市,2 技職,25.1175924,121.5210676
46,國立臺北護理健康大學,N 職,M 碩士,205,27,178,10,58,9,54,6,45,2,21,0,0,0,0,0,0,0,0,30 臺北市,2 技職,25.1175924,121.5210676
46,國立臺北護理健康大學,N 修,C 二技,739,32,707,0,0,0,0,9,245,12,233,10,214,0,0,0,0,1,15,30 臺北市,2 技職,25.1175924,121.5210676
47,國立高雄餐旅大學,D 日,D 博士,32,16,16,3,4,4,2,4,4,2,3,1,1,1,0,1,2,0,0,50 高雄市,2 技職,22.5632539,120.3723822
47,國立高雄餐旅大學,D 日,M 碩士,168,58,110,28,47,21,39,6,14,2,7,1,3,0,0,0,0,0,0,50 高雄市,2 技職,22.5632539,120.3723822
47,國立高雄餐旅大學,D 日,B 四技,3033,983,2050,256,490,245,507,225,507,243,532,0,0,0,0,0,0,14,14,50 高雄市,2 技職,22.5632539,120.3723822
47,國立高雄餐旅大學,D 日,C 二技,73,18,55,0,0,0,0,8,19,10,35,0,0,0,0,0,0,0,1,50 高雄市,2 技職,22.5632539,120.3723822
47,國立高雄餐旅大學,D 日,5 五專,249,97,152,17,32,17,34,22,28,22,26,17,28,0,0,0,0,2,4,50 高雄市,2 技職,22.5632539,120.3723822
47,國立高雄餐旅大學,N 職,M 碩士,36,15,21,5,8,7,9,2,2,1,1,0,1,0,0,0,0,0,0,50 高雄市,2 技職,22.5632539,120.3723822
47,國立高雄餐旅大學,N 修,B 四技,1010,361,649,110,162,80,138,78,146,87,192,0,0,0,0,0,0,6,11,50 高雄市,2 技職,22.5632539,120.3723822
47,國立高雄餐旅大學,N 修,C 二技,197,49,148,0,0,0,0,23,56,24,89,0,0,0,0,0,0,2,3,50 高雄市,2 技職,22.5632539,120.3723822
48,國立金門大學,D 日,M 碩士,200,112,88,61,42,34,32,13,9,4,5,0,0,0,0,0,0,0,0,71 金門縣,1 一般,24.4481499,118.322535
48,國立金門大學,D 日,B 學士,3074,1623,1451,444,398,416,324,356,348,323,341,18,14,0,0,0,0,66,26,71 金門縣,1 一般,24.4481499,118.322535
48,國立金門大學,N 職,M 碩士,112,74,38,27,21,23,15,11,1,13,1,0,0,0,0,0,0,0,0,71 金門縣,1 一般,24.4481499,118.322535
48,國立金門大學,P 進,B 學士,829,467,362,128,95,89,89,110,72,99,90,0,0,0,0,0,0,41,16,71 金門縣,1 一般,24.4481499,118.322535
49,國立臺灣體育運動大學,D 日,D 博士,13,5,8,2,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般,24.1486798,120.6876707
49,國立臺灣體育運動大學,D 日,M 碩士,260,133,127,42,44,38,34,29,23,20,25,2,0,1,0,1,1,0,0,19 臺中市,1 一般,24.1486798,120.6876707
